Unix Arrival Arrival	Unix Arrival	Unix Arrival Departure	City	Region	CC	Locale	Eggs Delivered	Carrots eaten	Latitude	Longitude	Population Num	Population Year	Elevation Meter	Arrival Stoppage Time	Timezone	Wikipedia attr	
0	0	0	Countdown	pt	https://i.etsystatic.com/29670587/r/il/690535/5332588770/il_fullxfull.5332588770_9o2o.jpg	en-US	6280000000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721638799	1721638799	1721638799	Santa Claus prep text hidden pt 1	pt		en-US	6280000000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721638799	1721638799	1721638799	Santa Claus prep text hidden pt 1	pt		en-US	6358500000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721638799	1721638799	1721638799	Santa Claus prep text hidden pt 1	pt		en-US	6437000000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721638799	1721638799	1721638799	Santa Claus prep text hidden pt 1	pt		en-US	6515500000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721638799	1721638799	1721638799	Santa Claus prep text hidden pt 1	pt		en-US	6594000000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721638799	1721638799	1721638799	Santa Claus prep text hidden pt 1	pt		en-US	6672500000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721638799	1721638799	1721638799	Santa Claus prep text hidden pt 1	pt		en-US	6751000000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721638799	1721638799	1721638799	Santa Claus prep text hidden pt 1	pt		en-US	6829500000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721638799	1721638799	1721638799	Santa Claus prep text hidden pt 1	pt		en-US	6908000000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721638799	1721638799	1721638799	Santa Claus prep text hidden pt 1	pt		en-US	6986500000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721638799	1721638799	1721638799	Santa Claus prep text hidden pt 1	pt		en-US	7065000000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721638799	1721638799	1721638799	Santa Claus prep text hidden pt 1	pt		en-US	7104250000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721638799	1721638799	1721638799	Santa Claus prep text hidden pt 1	pt		en-US	7143500000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721638799	1721638799	1721638799	Santa Claus prep text hidden pt 1	pt		en-US	7182750000	0	83.6	168	0	0	0	0	Pacific/Easter		
