Unix Arrival Arrival	Unix Arrival	Unix Arrival Departure	City	Region	CC	Locale	Eggs Delivered	Carrots eaten	Latitude	Longitude	Population Num	Population Year	Elevation Meter	Arrival Stoppage Time	Timezone	Wikipedia attr	
0	0	0	Countdown	pt	https://i.etsystatic.com/29670587/r/il/690535/5332588770/il_fullxfull.5332588770_9o2o.jpg	en-US	6280000000	0	83.6	168	0	0	0	0	Pacific/Easter		
1	1	1	Santa's Village	pt	https://i.etsystatic.com/29670587/r/il/690535/5332588770/il_fullxfull.5332588770_9o2o.jpg	en-US	0	0	90	-130	0	0	0	0	Pacific/Easter	
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	6280000000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	6358500000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	6437000000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	6515500000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	6594000000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	6672500000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	6751000000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	6829500000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	6908000000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	6986500000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	7065000000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	7104250000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	7143500000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	7182750000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	7222000000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	7261250000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	7300500000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	7339750000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	7379000000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	7418250000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	7457500000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	7496750000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	7536000000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	7555625000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	7575250000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	7594875000	0	83.6	168	0	0	0	0	Pacific/Easter		
1721552399	1721552399	1721552399	Santa Claus prep text hidden pt 1	pt		en-US	7614500000	0	83.6	168	0	0	0	0	Pacific/Easter		
